"","pop","gdp","polity"
"AFG",24.78,19.29,-4.64
"ALB",3.28,8.95,3.82
"ALG",27.89,133.61,-3.91
"ANG",10.66,15.38,-2.55
"ARG",34.77,352.38,7.18
"AUL",18.1,408.06,10
"AUS",7.99,170.76,10
"BAH",0.57,7.45,-9.27
"BEL",10.12,215.01,10
"BEN",5.49,6.03,5.45
"BFO",10.02,9.05,-4.73
"BHU",0.81,1.43,-8
"BNG",120.3,177.32,5
"BOL",7.43,19.32,9
"BOT",1.45,9.17,8.36
"BRA",159.32,1057.43,8
"BUI",6.15,4.35,-2.73
"BUL",8.43,53.9,8
"CAM",13.18,26.03,0.55
"CAN",29.3,686.09,10
"CAO",11.27,14.8,-4.73
"CDI",13.71,26.97,-5
"CEN",3.31,3.58,1.91
"CHA",6.69,6.24,-3.45
"CHL",14.18,118.78,8.09
"CHN",1201.23,3342.66,-7
"COL",38.58,205.38,7.82
"COM",0.49,0.87,2.64
"CON",2.58,4.84,-0.73
"COS",3.38,17.95,10
"CUB",10.95,59.8,-7
"CYP",0.72,10.7,10
"DEN",5.23,124.27,10
"DJI",0.56,1.13,-5.27
"DOM",7.77,30.99,6.73
"DRC",43.24,15.61,-1.45
"ECU",11.46,43.24,8.64
"EGY",58.18,215.19,-3.55
"EQG",0.4,0.77,-5.55
"FIN",5.1,101.82,10
"FJI",0.77,3.96,5.09
"FRN",59.28,1214.34,9
"GAB",1.09,9.51,-4.18
"GAM",1.11,1.26,-0.73
"GHA",17.1,21.26,-0.45
"GNB",1.08,0.76,0.18
"GRC",10.42,133.86,10
"GUA",10.01,37.57,5.27
"GUI",6.59,17.48,-3
"GUY",0.79,2.24,3.64
"HAI",7.14,11.2,1.91
"HON",5.64,11.97,6.18
"HUN",10.22,92.63,10
"IND",930.96,1887.02,8.55
"INS",194.13,675.7,-4.27
"IRE",3.62,66.92,10
"IRN",59,295.73,-2.73
"IRQ",16.37,71.2,-9
"ISR",5.52,86.59,9.18
"ITA",57.25,1165.54,10
"JAM",2.51,9.59,9.27
"JOR",4.15,15.31,-2.36
"JPN",125.37,2947.66,10
"KEN",26.96,34.22,-4.09
"LAO",4.55,7.02,-7
"LBR",2.27,2.43,0
"LES",1.9,2.68,2.27
"LIB",4.43,28.06,-7
"MAA",2.32,2.99,-6.09
"MAG",12.27,10.27,6.36
"MAL",20.66,175.51,3.45
"MAS",1.12,12.69,10
"MAW",9.52,6.62,1.27
"MEX",90.67,694.39,3.45
"MLI",9.66,8.1,4.73
"MON",2.4,3.94,8.18
"MOR",26.38,96.51,-6.91
"MYA",40.81,33.84,-7
"MZM",15.85,14.71,1.55
"NAM",1.55,6.73,6
"NEP",20.98,26.56,5.18
"NEW",3.64,62.38,10
"NIC",4.44,8.2,7.09
"NIG",111.37,105.03,-3.64
"NIR",9.2,7.86,1.45
"NOR",4.36,104.47,10
"NTH",15.44,330.44,10
"OMA",1.98,29.99,-9.09
"PAK",122.62,232.03,5.27
"PAN",2.63,14.94,8.64
"PAR",4.84,24.56,6
"PHI",69.46,216.39,8
"PNG",4.4,14.37,10
"POL",38.5,287.34,8.27
"POR",9.92,135.82,10
"PRK",20.53,19.96,-9
"QAT",0.62,12.66,-10
"ROK",45.09,588.9,6.55
"RUM",22.72,101.24,6.36
"RWA",7.38,6.55,-6.09
"SAF",39.05,290.62,7.91
"SAL",5.68,23.13,6.91
"SAU",18.05,208.14,-10
"SEN",8.37,12.53,-0.18
"SIE",4.51,4.16,-3.36
"SIN",3.55,81.68,-2
"SOM",7.57,7.96,-0.64
"SPN",39.26,619.7,10
"SRI",18.12,53.48,5
"SUD",26.61,29.4,-7
"SWA",0.77,2.65,-9.27
"SWD",8.77,184.75,10
"SWZ",7,176.09,10
"SYR",14.14,53.24,-8.82
"TAW",21.16,309.53,6.36
"TAZ",29.62,13.86,-3.18
"THI",58.71,364.66,7.55
"TOG",4.04,4.03,-2.82
"TRI",1.26,12.04,9.36
"TUN",8.92,51.32,-3.55
"TUR",61.59,387.3,7.91
"UAE",1.54,38.33,-8
"UGA",19.23,15.74,-4.82
"UKG",58.63,1158.41,10
"URU",3.22,28.69,10
"USA",262.95,7619.7,10
"VEN",21.84,152.33,8
"YEM",15.13,13.55,-2.55
"ZAM",8.96,8.08,2.36
"ZIM",11.15,30.17,-5.91
